stock_name,nse_code,isin,sector_name,industry_name,current_price,market_capitalization,trendlyne_momentum_score,trendlyne_durability_score,trendlyne_valuation_score,day_rsi,day_adx,day_macd,day_macd_signal_line,day_sma50,day_sma200,day_volume,week_volume_avg,month_volume_avg,year_1_high,rr_nifty50_year_pct,sales_growth_3y_pct,sales_growth_5y_pct,profit_growth_3y_pct,profit_growth_5y_pct,eps_growth_3y_pct,eps_growth_5y_pct,sales_q_latest,sales_q_prev,sales_q_yoy_base,profit_q_latest,profit_q_prev,profit_q_yoy_base,eps_q_latest,eps_q_prev,eps_q_yoy_base,roce,roce_3y_avg,roce_5y_avg,roe,roe_3y_avg,opm_current,opm_last_year,opm_5y_avg,cfo_latest,cfo_prev,fcf_latest,fcf_prev,fcf_3y,debt_to_equity,current_ratio,interest_coverage,altman_z_score,piotroski_score,peg_ratio,price_to_fcf,price_to_cfo,price_to_sales,pe_ttm,promoter_holding_latest_pct,promoter_holding_change_qoq_pct,fii_holding_change_qoq_pct,mf_holding_change_qoq_pct
Infosys Limited,INFY,INE009A01021,Information Technology,IT Services,1530.40,642000,74,80,45,62.5,28.4,4.2,2.1,1485.60,1410.20,1240000,980000,1050000,1720.00,14.5,12.4,11.2,14.8,12.5,13.2,11.4,37440,36200,34500,6210,5930,5680,14.8,14.2,13.6,32.4,30.5,29.2,25.4,24.1,21.8,21.2,20.5,5240,4900,4730,4420,13500,0.08,2.45,45.8,5.44,8,1.82,24.6,20.2,4.42,22.4,15.1,0.0,0.12,-0.05
Reliance Industries,RELIANCE,INE002A01018,Energy,Renewable Energy,2485.50,1680000,52,55,60,48.2,21.5,1.5,-0.8,2420.40,2310.50,1950000,1780000,1850000,2850.00,8.4,9.2,8.1,11.4,9.5,10.2,8.8,231500,224000,211200,18900,17300,16500,24.5,23.8,22.1,11.8,11.2,10.4,10.5,9.8,14.6,14.1,13.5,26300,24800,15400,14200,41200,0.38,1.45,6.2,3.12,6,2.14,28.4,24.5,2.34,26.8,50.1,0.0,0.05,0.02
HDFC Bank Limited,HDFCBANK,INE040A01034,Financials,Banking,1622.10,1235000,58,85,50,51.4,24.8,2.8,1.4,1560.20,1498.40,4800000,4650000,4720000,1745.00,11.2,16.2,14.8,19.4,17.2,18.5,16.4,59100,55400,51200,12800,11400,10500,20.2,19.4,18.2,18.4,17.5,16.2,16.1,15.2,38.5,37.2,36.4,0,0,0,0,0,1.24,1.15,0.0,2.15,7,1.42,0,0,4.12,19.2,25.6,0.0,0.25,0.18
Tata Motors Limited,TATAMOTORS,INE155A01022,Consumer Discretionary,Automobile,965.70,320000,88,62,40,71.2,42.5,18.4,12.5,890.30,750.50,7500000,6800000,7100000,1065.00,48.2,11.5,9.2,26.4,21.8,24.2,19.5,105000,99500,88400,6120,5600,1210,15.4,14.1,2.4,12.8,10.5,8.4,10.2,8.5,12.4,10.2,8.5,8400,7800,4200,3700,10500,1.12,1.08,3.4,1.92,6,0.84,38.5,32.4,1.04,14.5,45.2,0.0,0.45,-0.10
Titan Company Limited,TITAN,INE280A01028,Consumer Discretionary,Jewellery,3240.20,288000,64,78,35,54.8,18.5,-5.2,-2.1,3350.40,3140.80,680000,720000,700000,3850.00,18.4,18.2,16.4,22.4,20.5,21.2,19.2,14200,13100,11200,1050,980,820,11.8,11.0,9.2,28.4,26.5,25.1,24.1,23.2,11.5,11.2,10.8,1250,1180,950,890,2600,0.15,1.85,15.4,6.15,8,2.42,42.4,36.5,3.15,34.2,52.9,0.0,-0.08,0.10
State Bank of India,SBIN,INE062A01020,Financials,Banking,785.40,701000,68,75,65,58.4,30.2,8.4,4.2,745.20,680.40,6400000,5200000,5600000,845.00,28.5,12.5,10.4,16.5,14.2,15.4,13.8,42100,39800,36400,9120,8400,7600,8.4,7.8,7.1,14.5,13.8,12.2,15.2,14.1,32.4,30.5,29.1,0,0,0,0,0,1.35,1.22,0.0,1.82,7,1.12,0,0,2.15,10.4,57.4,0.0,0.15,0.08
Tata Consultancy Services,TCS,INE467B01029,Information Technology,IT Services,3850.25,1390000,62,94,30,45.2,16.4,-12.4,-8.2,3920.40,3710.20,2100000,2300000,2200000,4250.00,-2.5,10.2,9.5,12.4,11.5,11.8,10.4,61200,59100,55400,11400,11100,10500,31.2,30.4,28.8,45.4,43.2,41.5,39.2,38.1,26.4,25.8,25.2,12400,11800,11900,11200,34000,0.02,2.85,85.4,10.42,9,2.85,32.4,28.5,5.12,28.5,72.4,0.0,0.08,-0.02
ITC Limited,ITC,INE154A01025,Consumer Staples,Food Processing,430.50,536000,48,92,70,39.5,14.2,1.2,2.5,442.50,428.10,9500000,11500000,10800000,500.00,-10.4,11.4,10.2,14.2,12.8,13.4,12.1,17200,16950,15800,4900,4850,4430,3.9,3.8,3.5,38.5,37.1,35.4,30.2,29.1,36.5,35.8,34.2,5200,4950,4800,4550,14100,0.01,3.45,98.5,12.14,9,2.12,22.4,20.5,6.82,21.4,18.7,0.0,0.45,0.12
Larsen & Toubro Limited,LT,INE018A01030,Infrastructure,Construction,3410.20,479000,78,72,32,66.8,34.2,14.2,9.5,3210.40,2950.50,1450000,1210000,1320000,3890.00,26.4,14.2,12.8,18.5,16.2,17.2,15.1,58500,54200,49200,3150,2950,2610,22.4,21.0,18.5,19.2,18.1,17.2,14.8,13.9,11.2,10.5,9.8,3400,2900,1850,1500,4200,1.45,1.28,4.5,2.15,6,1.92,42.4,32.4,1.85,30.2,0.0,0.0,0.52,-0.15
ICICI Bank Limited,ICICIBANK,INE090A01021,Financials,Banking,1120.40,782000,72,82,55,60.2,29.5,5.4,3.2,1080.50,995.20,6700000,5800000,6100000,1170.00,22.8,15.4,13.8,18.5,16.5,17.4,15.2,32500,30200,27800,10200,9100,8200,14.5,13.8,12.4,16.8,15.9,14.8,17.5,16.5,35.8,34.2,33.1,0,0,0,0,0,1.18,1.25,0.0,2.18,7,1.38,0,0,3.85,17.5,0.0,0.0,0.18,0.22
